N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL
372,에이블씨엔씨,"10,050",150,-1.47%,500,"2,717","27,033",10.42,"42,751",-24.33,-3.94,https://finance.naver.com/item/main.nhn?code=078520
373,환인제약,"14,600",200,+1.39%,500,"2,716","18,600",24.12,"19,298",14.53,N/A,https://finance.naver.com/item/main.nhn?code=016580
374,신도리코,"26,700",150,+0.56%,"5,000","2,691","10,080",24.84,"4,566",18.58,1.66,https://finance.naver.com/item/main.nhn?code=029530
375,아모레G3우(전환),"37,800",450,-1.18%,500,"2,681","7,092",9.42,"1,846",25.23,N/A,https://finance.naver.com/item/main.nhn?code=00279K
376,아세아제지,"29,750",300,-1.00%,"5,000","2,665","8,957",8.08,"24,431",4.34,10.99,https://finance.naver.com/item/main.nhn?code=002310
377,태림포장,"3,695",65,-1.73%,500,"2,616","70,806",1.75,"203,558",14.05,5.88,https://finance.naver.com/item/main.nhn?code=011280
378,엔에스쇼핑,"7,720",0,0.00%,500,"2,601","33,696",13.33,"4,897",-34.16,-1.76,https://finance.naver.com/item/main.nhn?code=138250
379,SBS미디어홀딩스,"1,850",10,-0.54%,500,"2,588","139,896",2.37,"13,686",-2.46,-16.34,https://finance.naver.com/item/main.nhn?code=101060
380,KBSTAR 대형고배당10TR,"9,635",110,-1.13%,0,"2,577","26,750",0.00,"1,349",N/A,N/A,https://finance.naver.com/item/main.nhn?code=315960
381,코스모신소재,"8,810",210,-2.33%,"1,000","2,577","29,248",6.52,"174,811",-35.10,-4.99,https://finance.naver.com/item/main.nhn?code=005070
382,센트랄모텍,"29,850",500,-1.65%,500,"2,570","8,610",0.22,"77,104",N/A,5.74,https://finance.naver.com/item/main.nhn?code=308170
383,아세아시멘트,"65,900","2,300",-3.37%,"5,000","2,567","3,896",3.45,"12,827",9.21,3.54,https://finance.naver.com/item/main.nhn?code=183190
384,세아홀딩스,"63,400",800,-1.25%,"5,000","2,536","4,000",0.91,191,8.23,1.58,https://finance.naver.com/item/main.nhn?code=058650
385,엘브이엠씨홀딩스,"4,955",35,-0.70%,0,"2,533","51,120",2.20,"154,332",-5.18,-11.73,https://finance.naver.com/item/main.nhn?code=900140
386,삼영무역,"13,650",50,-0.36%,500,"2,521","18,467",19.23,"6,034",7.03,10.32,https://finance.naver.com/item/main.nhn?code=002810
387,코리아오토글라스,"12,600",0,0.00%,"5,000","2,520","20,000",5.82,"5,397",7.63,9.36,https://finance.naver.com/item/main.nhn?code=152330
388,JW생명과학,"15,900",50,-0.31%,"2,500","2,518","15,835",6.68,"46,648",11.48,18.92,https://finance.naver.com/item/main.nhn?code=234080
389,삼성제약,"4,055",60,-1.46%,500,"2,496","61,550",3.83,"876,629",35.88,5.02,https://finance.naver.com/item/main.nhn?code=001360
390,국도화학,"42,600",350,+0.83%,"5,000","2,475","5,811",27.55,"2,601",7.15,6.89,https://finance.naver.com/item/main.nhn?code=007690
391,TIGER 원유선물Enhanced(H),"1,485",20,-1.33%,0,"2,440","164,300",0.00,"37,258,062",N/A,N/A,https://finance.naver.com/item/main.nhn?code=130680
392,한일홀딩스,"40,600",900,-2.17%,"5,000","2,434","5,994",3.57,"1,340",17.62,1.38,https://finance.naver.com/item/main.nhn?code=003300
393,일성신약,"91,000","2,400",-2.57%,"5,000","2,421","2,660",10.35,"1,248",36.03,2.01,https://finance.naver.com/item/main.nhn?code=003120
394,삼성SDI우,"149,500","3,000",-1.97%,"5,000","2,419","1,618",19.66,"11,683",29.51,N/A,https://finance.naver.com/item/main.nhn?code=006405
395,디티알오토모티브,"24,150",250,-1.02%,500,"2,414","9,994",5.87,"2,961",3.67,11.50,https://finance.naver.com/item/main.nhn?code=007340
396,한화손해보험,"2,065",20,-0.96%,"5,000","2,411","116,739",8.65,"98,912",-3.64,-4.87,https://finance.naver.com/item/main.nhn?code=000370
397,한화3우B,"10,700",50,+0.47%,"5,000","2,404","22,472",6.86,"19,823",11.64,N/A,https://finance.naver.com/item/main.nhn?code=00088K
398,KBSTAR 코스피,"19,350",130,-0.67%,0,"2,399","12,400",0.00,20,N/A,N/A,https://finance.naver.com/item/main.nhn?code=302450
399,해성디에스,"14,000",300,-2.10%,"5,000","2,380","17,000",3.46,"32,678",12.99,9.06,https://finance.naver.com/item/main.nhn?code=195870
400,모토닉,"7,200",50,-0.69%,500,"2,376","33,000",13.39,"6,705",20.93,2.80,https://finance.naver.com/item/main.nhn?code=009680
401,현대차증권,"8,050",60,-0.74%,"5,000","2,362","29,337",5.24,"160,206",3.47,7.93,https://finance.naver.com/item/main.nhn?code=001500
402,쌍용차,"1,575",25,-1.56%,"5,000","2,360","149,840",76.68,"440,998",-0.69,-62.27,https://finance.naver.com/item/main.nhn?code=003620
403,코오롱,"18,600",600,-3.12%,"5,000","2,349","12,626",10.45,"62,383",-14.95,-2.61,https://finance.naver.com/item/main.nhn?code=002020
404,한국화장품,"14,550",550,-3.64%,500,"2,338","16,068",0.95,"315,242",-13.57,-39.16,https://finance.naver.com/item/main.nhn?code=123690
405,E1,"34,050",50,+0.15%,"5,000","2,336","6,860",4.45,"5,100",-5.41,-3.63,https://finance.naver.com/item/main.nhn?code=017940
406,넥센,"4,350",90,-2.03%,500,"2,329","53,544",4.34,"11,095",4.19,5.96,https://finance.naver.com/item/main.nhn?code=005720
407,교보증권,"6,460",10,-0.15%,"5,000","2,326","36,000",11.56,"43,001",2.79,9.06,https://finance.naver.com/item/main.nhn?code=030610
408,KPX케미칼,"47,950",550,-1.13%,"5,000","2,321","4,840",27.76,"1,158",5.69,9.04,https://finance.naver.com/item/main.nhn?code=025000
409,현대에너지솔루션,"20,700",500,-2.36%,"5,000","2,318","11,200",2.75,"56,918",N/A,N/A,https://finance.naver.com/item/main.nhn?code=322000
410,신대양제지,"57,300",600,+1.06%,"5,000","2,309","4,030",8.25,"18,118",4.14,14.26,https://finance.naver.com/item/main.nhn?code=016590
411,삼성출판사,"23,000",300,-1.29%,500,"2,300","10,000",1.34,"244,779",47.23,5.49,https://finance.naver.com/item/main.nhn?code=068290
412,용평리조트,"4,765",25,-0.52%,"5,000","2,294","48,133",1.91,"164,206",-16.60,-3.41,https://finance.naver.com/item/main.nhn?code=070960
413,현대리바트,"11,100",50,+0.45%,"1,000","2,279","20,535",7.60,"214,512",11.71,4.30,https://finance.naver.com/item/main.nhn?code=079430
414,남양유업,"316,500","3,500",-1.09%,"5,000","2,279",720,24.63,976,9.60,3.25,https://finance.naver.com/item/main.nhn?code=003920
415,애경유화,"7,100",60,-0.84%,500,"2,275","32,040",15.94,"95,258",7.46,8.62,https://finance.naver.com/item/main.nhn?code=161000
416,삼양패키징,"16,000",350,-2.14%,"5,000","2,274","14,210",9.22,"12,737",8.01,10.29,https://finance.naver.com/item/main.nhn?code=272550
417,제일파마홀딩스,"14,200",0,0.00%,500,"2,268","15,973",9.54,"63,072",-2.50,-20.52,https://finance.naver.com/item/main.nhn?code=002620
418,풍산홀딩스,"28,900",750,+2.66%,"5,000","2,264","7,835",6.99,"7,884",9.44,3.39,https://finance.naver.com/item/main.nhn?code=005810
419,삼익THK,"10,700",350,-3.17%,500,"2,247","21,000",34.68,"36,325",69.03,1.74,https://finance.naver.com/item/main.nhn?code=004380
420,대상홀딩스,"6,190",140,+2.31%,"1,000","2,242","36,213",4.42,"231,639",3.18,13.07,https://finance.naver.com/item/main.nhn?code=084690
421,S&T홀딩스,"13,700",0,0.00%,500,"2,234","16,304",10.36,"13,145",3.57,8.78,https://finance.naver.com/item/main.nhn?code=036530
422,IHQ,"1,525",25,-1.61%,500,"2,230","146,236",1.91,"402,228",-3.37,-39.04,https://finance.naver.com/item/main.nhn?code=003560
423,광주신세계,"139,000","1,000",-0.71%,"5,000","2,224","1,600",11.80,761,4.67,7.44,https://finance.naver.com/item/main.nhn?code=037710
424,넥스트사이언스,"6,970",230,-3.19%,500,"2,211","31,723",5.54,"351,585",-7.74,-30.34,https://finance.naver.com/item/main.nhn?code=003580
425,하나 코스피 변동성추세 추종 양매도 ETN,"8,780",0,0.00%,0,"2,195","25,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=700001
426,삼성 레버리지 WTI원유 선물 ETN,"2,085",0,0.00%,0,"2,189","105,000",0.02,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=530031
427,CJ4우(전환),"51,300",900,+1.79%,"5,000","2,168","4,227",5.01,"8,806",6.85,N/A,https://finance.naver.com/item/main.nhn?code=00104K
428,LS전선아시아,"6,890",110,-1.57%,500,"2,110","30,625",3.18,"49,215",13.17,12.07,https://finance.naver.com/item/main.nhn?code=229640
429,케이씨씨글라스,"25,250",600,+2.43%,"1,000","2,108","8,350",8.31,"133,917",N/A,N/A,https://finance.naver.com/item/main.nhn?code=344820
430,대한제분,"124,500",500,-0.40%,"5,000","2,104","1,690",12.41,"2,735",12.38,2.25,https://finance.naver.com/item/main.nhn?code=001130
431,대신증권우,"8,090",20,-0.25%,"5,000","2,103","26,000",9.59,"31,405",7.42,N/A,https://finance.naver.com/item/main.nhn?code=003545
432,신세계푸드,"54,300",600,+1.12%,"5,000","2,103","3,872",3.98,"8,017",48.31,1.38,https://finance.naver.com/item/main.nhn?code=031440
433,TIGER 차이나CSI300레버리지(합성),"18,070",230,-1.26%,0,"2,078","11,500",0.05,"40,662",N/A,N/A,https://finance.naver.com/item/main.nhn?code=204480
434,에어부산,"3,985",55,-1.36%,"1,000","2,075","52,070",0.67,"247,259",-2.85,-56.00,https://finance.naver.com/item/main.nhn?code=298690
435,이연제약,"12,300",150,-1.20%,500,"2,063","16,770",1.52,"37,448",34.75,2.68,https://finance.naver.com/item/main.nhn?code=102460
436,무림P&P,"3,285",35,+1.08%,"2,500","2,049","62,368",5.35,"58,991",20.28,1.64,https://finance.naver.com/item/main.nhn?code=009580
437,예스코홀딩스,"33,800",50,+0.15%,"5,000","2,028","6,000",15.11,135,10.31,3.61,https://finance.naver.com/item/main.nhn?code=015360
438,해태제과식품,"6,960",50,-0.71%,500,"2,027","29,117",0.68,"23,981",-5.84,-13.11,https://finance.naver.com/item/main.nhn?code=101530
439,한국주철관,"8,880",190,-2.09%,500,"2,025","22,800",1.31,"20,005",20.14,2.54,https://finance.naver.com/item/main.nhn?code=000970
440,코스모화학,"7,670",240,-3.03%,"1,000","2,003","26,111",1.65,"240,217",-10.17,-12.16,https://finance.naver.com/item/main.nhn?code=005420
441,KOSEF 국고채10년,"124,945",95,-0.08%,0,"1,999","1,600",0.00,"1,110",N/A,N/A,https://finance.naver.com/item/main.nhn?code=148070
442,나노메딕스,"5,370",120,-2.19%,500,"1,999","37,222",0.48,"335,375",-4.94,-87.65,https://finance.naver.com/item/main.nhn?code=074610
443,토니모리,"11,300",500,-4.24%,200,"1,993","17,640",1.05,"122,219",-36.69,-5.33,https://finance.naver.com/item/main.nhn?code=214420
444,동아지질,"17,300",850,-4.68%,500,"1,990","11,500",4.19,"366,589",10.45,10.33,https://finance.naver.com/item/main.nhn?code=028100
445,효성ITX,"17,150",250,-1.44%,500,"1,982","11,558",1.45,"32,529",19.69,21.77,https://finance.naver.com/item/main.nhn?code=094280
446,신세계 I&C,"113,500","2,500",+2.25%,"5,000","1,952","1,720",3.72,"9,126",18.32,5.44,https://finance.naver.com/item/main.nhn?code=035510
447,유진투자증권,"2,015",10,-0.49%,"5,000","1,952","96,866",8.32,"96,184",4.72,5.36,https://finance.naver.com/item/main.nhn?code=001200
448,성신양회,"7,920",330,-4.00%,"5,000","1,942","24,516",5.43,"577,591",11.48,4.43,https://finance.naver.com/item/main.nhn?code=004980
449,한세예스24홀딩스,"4,845",85,-1.72%,500,"1,938","40,000",2.17,"10,366",9.61,7.58,https://finance.naver.com/item/main.nhn?code=016450
450,ARIRANG 고배당주,"8,735",50,-0.57%,0,"1,934","22,140",0.04,"47,854",N/A,N/A,https://finance.naver.com/item/main.nhn?code=161510
451,선진,"8,120",360,+4.64%,500,"1,931","23,780",12.61,"224,182",9.03,6.72,https://finance.naver.com/item/main.nhn?code=136490
452,현대상사,"14,500",250,-1.69%,"5,000","1,918","13,229",6.61,"53,114",11.73,5.07,https://finance.naver.com/item/main.nhn?code=011760
453,신한 레버리지 WTI원유 선물 ETN(H),650,0,0.00%,0,"1,904","293,000",0.02,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=500019
454,TIGER 미국나스닥100,"47,605",360,-0.75%,0,"1,904","4,000",0.02,"28,442",N/A,N/A,https://finance.naver.com/item/main.nhn?code=133690
455,TIGER 차이나CSI300,"8,660",60,-0.69%,0,"1,888","21,800",1.20,"754,163",N/A,N/A,https://finance.naver.com/item/main.nhn?code=192090
456,코리아써키트,"7,970",230,-2.80%,500,"1,883","23,621",4.79,"262,139",318.80,0.21,https://finance.naver.com/item/main.nhn?code=007810
457,코오롱글로벌,"7,460",40,-0.53%,"5,000","1,881","25,210",1.88,"43,588",3.90,10.74,https://finance.naver.com/item/main.nhn?code=003070
458,삼성 인버스 2X 천연가스 선물 ETN,"18,725","1,445",+8.36%,0,"1,872","10,000",0.00,"46,854",N/A,N/A,https://finance.naver.com/item/main.nhn?code=530038
459,일신석재,"2,415",15,-0.62%,500,"1,871","77,457",0.90,"5,214,270",201.25,1.77,https://finance.naver.com/item/main.nhn?code=007110
460,QV 코스피 양매도 5% OTM ETN,"9,300",0,0.00%,0,"1,860","20,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=550056
461,KINDEX 중국본토CSI300,"22,945",155,-0.67%,0,"1,859","8,100",0.00,"2,638",N/A,N/A,https://finance.naver.com/item/main.nhn?code=168580
462,KISCO홀딩스,"9,960",190,-1.87%,"1,000","1,840","18,476",9.97,"2,960",4.14,5.58,https://finance.naver.com/item/main.nhn?code=001940
463,경보제약,"7,660",40,-0.52%,500,"1,831","23,907",1.49,"33,020",34.66,3.55,https://finance.naver.com/item/main.nhn?code=214390
464,케이씨,"13,500",200,-1.46%,500,"1,830","13,554",16.14,"18,251",3.63,12.38,https://finance.naver.com/item/main.nhn?code=029460
465,ARIRANG 단기유동성,"111,715",10,+0.01%,0,"1,821","1,630",0.00,2,N/A,N/A,https://finance.naver.com/item/main.nhn?code=190160
466,KPX홀딩스,"43,100",450,-1.03%,"5,000","1,821","4,225",32.00,313,5.30,5.55,https://finance.naver.com/item/main.nhn?code=092230
467,티웨이항공,"3,860",70,-1.78%,500,"1,813","46,975",0.17,"110,681",-4.20,-20.85,https://finance.naver.com/item/main.nhn?code=091810
468,휴비스,"5,250",60,+1.16%,"5,000","1,811","34,500",2.50,"219,533",-656.25,-0.07,https://finance.naver.com/item/main.nhn?code=079980
469,부국증권,"17,300",100,-0.57%,"5,000","1,794","10,370",1.08,416,8.42,5.80,https://finance.naver.com/item/main.nhn?code=001270
470,S&T중공업,"5,390",70,+1.32%,"2,500","1,792","33,253",11.77,"17,940",10.76,2.72,https://finance.naver.com/item/main.nhn?code=003570
471,한솔테크닉스,"5,570",50,-0.89%,"5,000","1,789","32,110",11.74,"184,050",23.80,2.79,https://finance.naver.com/item/main.nhn?code=004710
472,대원강업,"2,880",40,-1.37%,500,"1,786","62,000",2.18,"10,000",11.16,3.39,https://finance.naver.com/item/main.nhn?code=000430
473,동부건설,"8,170",100,-1.21%,"5,000","1,783","21,829",2.81,"14,381",2.91,15.30,https://finance.naver.com/item/main.nhn?code=005960
474,아세아,"81,300",500,-0.61%,"5,000","1,781","2,191",5.17,383,3.70,6.37,https://finance.naver.com/item/main.nhn?code=002030
475,세화아이엠씨,"2,990",0,0.00%,500,"1,776","59,402",1.12,0,-15.99,-22.79,https://finance.naver.com/item/main.nhn?code=145210
476,일진홀딩스,"3,595",90,-2.44%,"1,000","1,774","49,347",2.61,"71,675",14.10,4.52,https://finance.naver.com/item/main.nhn?code=015860
477,KG케미칼,"13,600",250,-1.81%,"5,000","1,770","13,013",6.43,"125,657",1.80,32.69,https://finance.naver.com/item/main.nhn?code=001390
478,아시아나IDT,"15,750",300,-1.87%,500,"1,748","11,100",0.33,"104,658",-21.72,-5.44,https://finance.naver.com/item/main.nhn?code=267850
479,한국철강,"3,785",40,-1.05%,"1,000","1,743","46,050",15.16,"23,379",9.14,2.65,https://finance.naver.com/item/main.nhn?code=104700
480,한국금융지주우,"29,750",100,-0.34%,"5,000","1,743","5,858",16.97,"3,923",2.17,N/A,https://finance.naver.com/item/main.nhn?code=071055
481,동성코퍼레이션,"3,805",55,+1.47%,"1,000","1,729","45,445",2.13,"24,674",29.73,2.00,https://finance.naver.com/item/main.nhn?code=102260
482,유니퀘스트,"6,340",130,-2.01%,500,"1,727","27,237",47.51,"79,278",6.78,12.68,https://finance.naver.com/item/main.nhn?code=077500
483,세방,"8,900",30,+0.34%,500,"1,718","19,309",4.99,"18,114",37.08,0.68,https://finance.naver.com/item/main.nhn?code=004360
484,종근당바이오,"31,200",100,+0.32%,"2,500","1,712","5,486",8.73,"30,352",N/A,N/A,https://finance.naver.com/item/main.nhn?code=063160
485,팜스코,"4,645",55,+1.20%,500,"1,706","36,728",3.14,"562,998",-20.64,-2.77,https://finance.naver.com/item/main.nhn?code=036580
486,신한 인버스 2X 천연가스 선물 ETN(H),"8,495",620,+7.87%,0,"1,699","20,000",0.00,"162,675",N/A,N/A,https://finance.naver.com/item/main.nhn?code=500032
487,무학,"5,950",70,-1.16%,200,"1,696","28,500",17.66,"23,367",7.15,4.64,https://finance.naver.com/item/main.nhn?code=033920
488,KINDEX 베트남VN30(합성),"11,020",40,-0.36%,0,"1,686","15,300",0.00,"28,142",N/A,N/A,https://finance.naver.com/item/main.nhn?code=245710
489,KBSTAR 코스닥150,"9,880",80,-0.80%,0,"1,682","17,020",0.15,"19,204",N/A,N/A,https://finance.naver.com/item/main.nhn?code=270810
490,AJ네트웍스,"3,530",10,-0.28%,"1,000","1,653","46,822",6.89,"31,097",3.59,15.18,https://finance.naver.com/item/main.nhn?code=095570
491,TIGER 중국소비테마,"6,245",0,0.00%,0,"1,651","26,430",0.00,"57,672",N/A,N/A,https://finance.naver.com/item/main.nhn?code=150460
492,이수화학,"10,800",0,0.00%,"5,000","1,650","15,278",3.50,"808,203",-22.45,-2.40,https://finance.naver.com/item/main.nhn?code=005950
493,한국화장품제조,"36,250","1,300",-3.46%,500,"1,643","4,532",1.51,"80,510",-110.52,-3.03,https://finance.naver.com/item/main.nhn?code=003350
494,STX엔진,"7,120","1,640",+29.93%,"2,500","1,638","23,009",0.00,"618,599",9.66,8.89,https://finance.naver.com/item/main.nhn?code=077970
495,부산산업,"154,500",0,0.00%,"5,000","1,632","1,056",0.56,"96,043",41.94,7.20,https://finance.naver.com/item/main.nhn?code=011390
496,KSS해운,"6,990",110,-1.55%,500,"1,621","23,186",7.53,"1,384,485",6.98,8.79,https://finance.naver.com/item/main.nhn?code=044450
497,유수홀딩스,"6,110",70,+1.16%,"2,500","1,591","26,042",6.37,"21,517",39.17,1.83,https://finance.naver.com/item/main.nhn?code=000700
498,세원셀론텍,"2,600",10,-0.38%,500,"1,586","60,991",2.27,"140,939",-27.96,-3.31,https://finance.naver.com/item/main.nhn?code=091090
499,KODEX 골드선물(H),"12,325",30,+0.24%,0,"1,578","12,800",0.19,"228,748",N/A,N/A,https://finance.naver.com/item/main.nhn?code=132030
500,한국패러랠,"1,960",0,0.00%,0,"1,568","80,020",0.00,"34,615",N/A,N/A,https://finance.naver.com/item/main.nhn?code=168490
501,흥국화재,"2,440",35,-1.41%,"5,000","1,568","64,243",2.06,"11,725",4.14,5.51,https://finance.naver.com/item/main.nhn?code=000540
502,S-Oil우,"38,850",350,-0.89%,"2,500","1,563","4,022",11.54,"12,611",69.25,N/A,https://finance.naver.com/item/main.nhn?code=010955
503,효성중공업,"16,700",100,-0.60%,"5,000","1,557","9,325",6.92,"34,412",11.85,1.45,https://finance.naver.com/item/main.nhn?code=298040
504,KBSTAR 단기통안채,"103,650",5,0.00%,0,"1,551","1,496",0.00,253,N/A,N/A,https://finance.naver.com/item/main.nhn?code=196230
505,신성통상,"1,075",0,0.00%,500,"1,545","143,708",2.83,"554,559",26.88,2.26,https://finance.naver.com/item/main.nhn?code=005390
506,대한제당,"17,150",250,+1.48%,"2,500","1,538","8,970",2.01,"18,044",11.19,3.22,https://finance.naver.com/item/main.nhn?code=001790
507,대성홀딩스,"9,550",10,-0.10%,"1,000","1,537","16,089",3.03,"13,229",11.41,3.24,https://finance.naver.com/item/main.nhn?code=016710
508,SIMPAC,"2,340",10,+0.43%,500,"1,531","65,430",7.97,"11,166",16.14,2.17,https://finance.naver.com/item/main.nhn?code=009160
509,신성이엔지,880,16,-1.79%,500,"1,529","173,730",2.01,"352,605",73.33,1.77,https://finance.naver.com/item/main.nhn?code=011930
510,LS네트웍스,"1,935",10,-0.51%,"5,000","1,525","78,803",0.22,"15,497",-2.21,-11.94,https://finance.naver.com/item/main.nhn?code=000680
511,대한제강,"6,180",20,-0.32%,"1,000","1,523","24,647",9.54,"63,022",5.05,6.73,https://finance.naver.com/item/main.nhn?code=084010
512,STX,"7,710","1,430",+22.77%,"2,500","1,521","19,727",0.36,"2,152,511",-4.64,-54.53,https://finance.naver.com/item/main.nhn?code=011810
513,삼양통상,"50,500",900,-1.75%,"5,000","1,515","3,000",6.40,"2,661",3.43,14.22,https://finance.naver.com/item/main.nhn?code=002170
514,신라교역,"9,460",70,-0.73%,500,"1,514","16,000",4.62,"10,759",14.67,2.01,https://finance.naver.com/item/main.nhn?code=004970
515,동아타이어,"10,950",100,+0.92%,500,"1,504","13,733",3.85,114,N/A,N/A,https://finance.naver.com/item/main.nhn?code=282690
516,사조산업,"29,800",100,-0.33%,"5,000","1,490","5,000",3.65,"12,933",-11.65,-3.13,https://finance.naver.com/item/main.nhn?code=007160
517,한신공영,"12,800",250,-1.92%,"5,000","1,481","11,571",11.51,"16,749",2.06,15.21,https://finance.naver.com/item/main.nhn?code=004960
518,노루페인트,"7,370",170,-2.25%,500,"1,474","20,000",5.23,"102,251",7.98,6.00,https://finance.naver.com/item/main.nhn?code=090350
519,DB,729,14,-1.88%,500,"1,467","201,174",2.54,"408,313",33.14,2.53,https://finance.naver.com/item/main.nhn?code=012030
520,신한 레버리지 천연가스 선물 ETN(H),"3,560",325,-8.37%,0,"1,460","41,000",0.11,"468,668",N/A,N/A,https://finance.naver.com/item/main.nhn?code=500031
521,TIGER 글로벌4차산업혁신기술(합성 H),"11,565",45,-0.39%,0,"1,457","12,600",0.39,"13,419",N/A,N/A,https://finance.naver.com/item/main.nhn?code=275980
522,DI동일,"59,100","1,100",-1.83%,"5,000","1,457","2,466",6.35,"5,129",11.76,2.55,https://finance.naver.com/item/main.nhn?code=001530
523,삼성전기우,"50,100",600,-1.18%,"5,000","1,456","2,907",13.67,"6,829",7.56,N/A,https://finance.naver.com/item/main.nhn?code=009155
524,CJ씨푸드,"4,045",175,-4.15%,500,"1,453","35,931",0.97,"4,604,652",79.31,2.90,https://finance.naver.com/item/main.nhn?code=011150
525,TIGER 경기방어,"10,230",80,-0.78%,0,"1,444","14,120",0.01,"2,851",N/A,N/A,https://finance.naver.com/item/main.nhn?code=139280
526,CJ제일제당 우,"108,000","5,000",+4.85%,"5,000","1,434","1,327",26.05,"10,675",11.60,N/A,https://finance.naver.com/item/main.nhn?code=097955
527,신원,"1,685",30,+1.81%,500,"1,433","85,042",1.57,"12,565,297",99.12,0.74,https://finance.naver.com/item/main.nhn?code=009270
528,삼영전자,"7,160",50,-0.69%,500,"1,432","20,000",43.96,"6,160",16.73,1.77,https://finance.naver.com/item/main.nhn?code=005680
529,TIGER 헬스케어,"32,450",90,-0.28%,0,"1,428","4,400",0.09,"34,791",N/A,N/A,https://finance.naver.com/item/main.nhn?code=143860
530,이수페타시스,"3,420",15,-0.44%,"1,000","1,411","41,268",2.88,"427,870",-10.09,-3.87,https://finance.naver.com/item/main.nhn?code=007660
531,계룡건설,"15,800",300,-1.86%,"5,000","1,411","8,931",15.91,"8,365",1.97,16.94,https://finance.naver.com/item/main.nhn?code=013580
532,LG우,"42,550",200,-0.47%,"5,000","1,410","3,315",58.24,"2,401",6.93,N/A,https://finance.naver.com/item/main.nhn?code=003555
533,한국공항,"44,500",700,-1.55%,"5,000","1,409","3,166",8.64,"30,693",8.66,5.07,https://finance.naver.com/item/main.nhn?code=005430
534,미래에셋 코스피 양매도 5% OTM ETN,"9,330",0,0.00%,0,"1,400","15,000",0.00,0,N/A,N/A,https://finance.naver.com/item/main.nhn?code=520026
535,코스맥스비티아이,"14,550",300,-2.02%,500,"1,397","9,604",6.16,"6,679",346.43,0.14,https://finance.naver.com/item/main.nhn?code=044820
536,한솔홀딩스,"2,960",20,-0.67%,"5,000","1,397","47,184",9.14,"22,494",5.52,6.00,https://finance.naver.com/item/main.nhn?code=004150
537,알루코,"1,855",25,-1.33%,500,"1,382","74,524",2.06,"96,448",-18.93,-3.55,https://finance.naver.com/item/main.nhn?code=001780
538,대성산업,"3,045",5,-0.16%,"5,000","1,377","45,235",1.38,"17,973",-2.19,-14.15,https://finance.naver.com/item/main.nhn?code=128820
539,현대약품,"4,295",65,-1.49%,500,"1,374","32,000",3.99,"113,409",159.07,1.19,https://finance.naver.com/item/main.nhn?code=004310
540,현대차3우B,"56,200","1,200",-2.09%,"5,000","1,365","2,429",46.46,"3,923",5.22,N/A,https://finance.naver.com/item/main.nhn?code=005389
541,텔코웨어,"14,050",200,-1.40%,500,"1,363","9,703",1.24,"12,086",31.86,3.86,https://finance.naver.com/item/main.nhn?code=078000
542,깨끗한나라,"3,660",120,+3.39%,"1,000","1,363","37,241",0.91,"1,857,427",-11.37,-7.29,https://finance.naver.com/item/main.nhn?code=004540
543,아모레G우,"21,150",50,-0.24%,500,"1,363","6,444",51.10,"5,217",14.12,N/A,https://finance.naver.com/item/main.nhn?code=002795
544,비티원,"3,430",110,+3.31%,500,"1,360","39,662",0.45,"420,018",8.64,29.38,https://finance.naver.com/item/main.nhn?code=101140
545,국제약품,"7,310",0,0.00%,"1,000","1,345","18,401",3.73,"1,167,745",-28.22,-7.35,https://finance.naver.com/item/main.nhn?code=002720
546,삼광글라스,"27,700",0,0.00%,"5,000","1,345","4,854",1.61,"10,521",-675.61,-0.07,https://finance.naver.com/item/main.nhn?code=005090
547,HANARO 200TR,"29,200",315,-1.07%,0,"1,343","4,600",0.00,108,N/A,N/A,https://finance.naver.com/item/main.nhn?code=332930
548,KTB투자증권,"2,215",25,-1.12%,"5,000","1,336","60,314",23.04,"50,228",3.12,9.18,https://finance.naver.com/item/main.nhn?code=030210
549,쌍방울,957,13,-1.34%,500,"1,334","139,360",3.67,"2,162,079",-3.39,-19.68,https://finance.naver.com/item/main.nhn?code=102280
550,삼화페인트,"5,030",120,-2.33%,500,"1,330","26,439",10.11,"36,277",35.17,1.34,https://finance.naver.com/item/main.nhn?code=000390
551,HDC아이콘트롤스,"8,070",70,-0.86%,500,"1,328","16,460",2.31,"26,672",-22.54,-3.13,https://finance.naver.com/item/main.nhn?code=039570
552,DB금융투자,"3,125",45,-1.42%,"5,000","1,326","42,446",8.04,"53,619",2.73,7.15,https://finance.naver.com/item/main.nhn?code=016610
553,삼익악기,"1,460",25,-1.68%,500,"1,322","90,531",3.35,"201,520",9.67,6.27,https://finance.naver.com/item/main.nhn?code=002450
554,NH투자증권우,"7,000",20,-0.28%,"5,000","1,321","18,871",3.96,"32,170",4.42,N/A,https://finance.naver.com/item/main.nhn?code=005945
555,HANARO MSCI Korea TR,"10,135",90,-0.88%,0,"1,318","13,000",0.00,35,N/A,N/A,https://finance.naver.com/item/main.nhn?code=332940
556,큐로,829,4,-0.48%,500,"1,315","158,618",1.22,"223,015",N/A,N/A,https://finance.naver.com/item/main.nhn?code=015590
