N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
23,에스에프에이,"34,950",400,+1.16%,500,"12,550","35,909",21.40,"176,015",9.51,15.90,https://finance.naver.com/item/main.nhn?code=056190,056190
40,GS홈쇼핑,"127,700","1,800",-1.39%,"5,000","8,380","6,562",25.03,"22,776",7.65,9.81,https://finance.naver.com/item/main.nhn?code=028150,028150
60,매일유업,"80,300",200,-0.25%,500,"6,298","7,844",19.51,"15,647",9.79,17.14,https://finance.naver.com/item/main.nhn?code=267980,267980
71,비에이치,"16,800",50,+0.30%,500,"5,519","32,851",14.19,"462,197",9.49,24.22,https://finance.naver.com/item/main.nhn?code=090460,090460
77,엠씨넥스,"29,750",100,+0.34%,500,"5,314","17,863",17.19,"428,498",6.21,47.71,https://finance.naver.com/item/main.nhn?code=097520,097520
86,코웰패션,"5,450",70,-1.27%,500,"4,823","88,500",3.38,"330,668",9.60,22.72,https://finance.naver.com/item/main.nhn?code=033290,033290
89,서진시스템,"26,450",400,-1.49%,500,"4,788","18,101",9.16,"319,321",9.84,20.25,https://finance.naver.com/item/main.nhn?code=178320,178320
97,한국아트라스비엑스,"49,100",200,+0.41%,"1,000","4,493","9,150",2.99,623,8.46,15.60,https://finance.naver.com/item/main.nhn?code=023890,023890
101,파트론,"8,040",60,-0.74%,500,"4,354","54,156",19.15,"762,602",7.14,18.71,https://finance.naver.com/item/main.nhn?code=091700,091700
103,상상인,"7,830",60,+0.77%,"1,000","4,332","55,328",7.56,"399,266",3.47,26.51,https://finance.naver.com/item/main.nhn?code=038540,038540
108,오이솔루션,"39,400",750,-1.87%,500,"4,186","10,624",4.31,"197,984",8.49,44.43,https://finance.naver.com/item/main.nhn?code=138080,138080
